company,negative,neutral,positive,score,action,risk,allocated_amount
Ashok Leyland,0.0,0.0,1.0,1.0,Buy,low,500
ICICI,0.0,0.0,1.0,1.0,Buy,low,500
IRCTC,0.0,0.0909090909090909,0.9090909090909092,0.9090909090909092,Buy,low,500
Ashoka Buildcon,0.0,0.1818181818181818,0.8181818181818182,0.8181818181818182,Buy,low,500
Dilip Buildcon,0.0,0.1818181818181818,0.8181818181818182,0.8181818181818182,Buy,low,500
PNC Infratech,0.0,0.1818181818181818,0.8181818181818182,0.8181818181818182,Buy,low,500
Diviâ€™s Laboratories,0.1,0.0,0.9,0.8,Buy,low,500
Nazara Technologies,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.7272727272727273,Buy,low,500
Nykaa,0.0909090909090909,0.0909090909090909,0.8181818181818182,0.7272727272727273,Buy,low,500
Apollo Hospitals,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.6666666666666667,Buy,low,500
Adani Green,0.1818181818181818,0.0,0.8181818181818182,0.6363636363636365,Buy,low,500
Delhivery,0.1818181818181818,0.0,0.8181818181818182,0.6363636363636365,Buy,low,500
Bikaji Foods,0.0,0.3636363636363636,0.6363636363636364,0.6363636363636364,Buy,low,500
Tata Power,0.0909090909090909,0.1818181818181818,0.7272727272727273,0.6363636363636364,Buy,low,500
Eicher Motors,0.125,0.125,0.75,0.625,Buy,low,500
JSW Steel,0.2,0.0,0.8,0.6000000000000001,Buy,low,500
Bajaj Auto,0.2222222222222222,0.0,0.7777777777777778,0.5555555555555556,Buy,medium,500
Marico,0.1818181818181818,0.0909090909090909,0.7272727272727273,0.5454545454545454,Buy,medium,500
Maruti Suzuki,0.0909090909090909,0.2727272727272727,0.6363636363636364,0.5454545454545454,Buy,medium,500
PNB Bank,0.1818181818181818,0.0909090909090909,0.7272727272727273,0.5454545454545454,Buy,medium,500
